query_id,source,p_at_10_RAG,r_at_10_RAG,mrr_at_10_RAG,ndcg_at_10_RAG,p_at_10_GraphRAG,r_at_10_GraphRAG,mrr_at_10_GraphRAG,ndcg_at_10_GraphRAG,delta_p_at_10,delta_r_at_10,delta_mrr_at_10,delta_ndcg_at_10,comparacao,p_at_10_Hibrido,r_at_10_Hibrido,mrr_at_10_Hibrido,ndcg_at_10_Hibrido
109,LLM,0.1,0.0714285714285714,0.5,0.1644922274565801,0.1,0.0714285714285714,0.3333333333333333,0.1303570060893872,0.0,0.0,-0.16666666666666669,-0.03413522136719291,RAG -> GraphRAG,,,,
110,LLM,0.5,0.4166666666666667,0.25,0.3865456313624234,0.6,0.5,1.0,0.6478837783744075,0.09999999999999998,0.08333333333333331,0.75,0.26133814701198405,RAG -> GraphRAG,,,,
111,LLM,0.2,0.1818181818181818,1.0,0.5437038518731633,0.2,0.1818181818181818,0.25,0.2466524723722597,0.0,0.0,-0.75,-0.29705137950090355,RAG -> GraphRAG,,,,
112,LLM,0.4,0.4,0.3333333333333333,0.2897790913790279,0.4,0.4,0.25,0.242171732401196,0.0,0.0,-0.08333333333333331,-0.047607358977831915,RAG -> GraphRAG,,,,
113,LLM,0.5,0.3571428571428571,0.5,0.4296604994237933,0.5,0.3571428571428571,1.0,0.4969048648610769,0.0,0.0,0.5,0.06724436543728357,RAG -> GraphRAG,,,,
114,LLM,0.4,0.3076923076923077,1.0,0.4642321465341434,0.4,0.3076923076923077,1.0,0.4554311383585073,0.0,0.0,0.0,-0.008801008175636116,RAG -> GraphRAG,,,,
115,LLM,0.3,0.2,1.0,0.4858487293317403,0.3,0.2,1.0,0.5915490573265824,0.0,0.0,0.0,0.10570032799484208,RAG -> GraphRAG,,,,
116,LLM,0.4,0.3636363636363636,1.0,0.4498873763727655,0.5,0.4545454545454545,0.5,0.4818809355796682,0.09999999999999998,0.09090909090909088,-0.5,0.03199355920690272,RAG -> GraphRAG,,,,
117,LLM,0.3,0.2727272727272727,0.25,0.2123625795703058,0.5,0.4545454545454545,0.5,0.4294789330041775,0.2,0.18181818181818177,0.25,0.2171163534338717,RAG -> GraphRAG,,,,
118,LLM,0.3,0.3,1.0,0.6404910363416297,0.5,0.5,1.0,0.7976236458959763,0.2,0.2,0.0,0.1571326095543466,RAG -> GraphRAG,,,,
119,LLM,0.5,0.4166666666666667,1.0,0.6867708551176969,0.4,0.3333333333333333,1.0,0.5185122427552843,-0.09999999999999998,-0.08333333333333337,0.0,-0.16825861236241257,RAG -> GraphRAG,,,,
120,LLM,0.2,0.1666666666666666,1.0,0.3167502559071482,0.2,0.1666666666666666,1.0,0.3097509492995028,0.0,0.0,0.0,-0.006999306607645417,RAG -> GraphRAG,,,,
121,LLM,0.3,0.2307692307692307,1.0,0.3936751535738512,0.4,0.3076923076923077,1.0,0.5521799222672773,0.10000000000000003,0.07692307692307701,0.0,0.1585047686934261,RAG -> GraphRAG,,,,
122,LLM,0.5,0.4545454545454545,1.0,0.6489315753318466,0.5,0.4545454545454545,1.0,0.6168295842361273,0.0,0.0,0.0,-0.03210199109571932,RAG -> GraphRAG,,,,
123,LLM,0.2,0.1538461538461538,1.0,0.3312106810887373,0.4,0.3076923076923077,0.25,0.3352811236922249,0.2,0.1538461538461539,-0.75,0.004070442603487601,RAG -> GraphRAG,,,,
124,LLM,0.2,0.1818181818181818,0.3333333333333333,0.1268490566970713,0.2,0.1818181818181818,0.3333333333333333,0.1128621661619115,0.0,0.0,0.0,-0.013986890535159807,RAG -> GraphRAG,,,,
125,LLM,0.2,0.1666666666666666,1.0,0.6944551652854406,0.2,0.1666666666666666,0.2,0.1152655228484794,0.0,0.0,-0.8,-0.5791896424369612,RAG -> GraphRAG,,,,
126,LLM,0.4,0.3636363636363636,0.25,0.3169161923094835,0.4,0.3636363636363636,1.0,0.4886446891881013,0.0,0.0,0.75,0.1717284968786178,RAG -> GraphRAG,,,,
127,LLM,0.2,0.1666666666666666,0.1428571428571428,0.0939867511658978,0.2,0.1666666666666666,0.3333333333333333,0.1379163826887377,0.0,0.0,0.19047619047619052,0.04392963152283991,RAG -> GraphRAG,,,,
128,LLM,0.5,0.4545454545454545,1.0,0.4380750315915284,0.6,0.5454545454545454,0.5,0.5027799337471085,0.09999999999999998,0.09090909090909094,-0.5,0.06470490215558011,RAG -> GraphRAG,,,,
129,LLM,0.3,0.3,1.0,0.6598044472406182,0.4,0.4,1.0,0.7041027019743363,0.10000000000000003,0.10000000000000003,0.0,0.04429825473371818,RAG -> GraphRAG,,,,
